Nom,Niveau,Puissance,Rarete
Shadowfall,5,15,Commun
Nirvana,5,15,Commun
Illumina,5,15,Commun
Putrid Jewel,5,15,Commun
Blackfire,10,30,Rare
Nightmare,10,30,Rare
Harmony,10,30,Rare
Massacre,10,30,Rare
Crazed Glaive,25,75,Mystique
Oracle,25,75,Mystique
Requiem,25,75,Mystique
Sanguine,25,75,Mystique
Silverglow,50,150,Epic
Flamestone,50,150,Epic
Benediction,50,150,Epic
Phantom,50,150,Epic
Lament,60,180,Légendaire
Thunderstrike,60,180,Légendaire
Shamanic Bauble,60,180,Légendaire
Silence,60,180,Légendaire
